年齢階級,男性身長平均,男性体重平均,女性身長平均,女性体重平均
1歳,79.7,10.4,77.2,10.2
2歳,88.6,12.6,87.5,12.3
3歳,96,14.2,96.1,14.6
4歳,101.2,15.4,102.3,15.9
5歳,110,18.2,109.3,18.1
6歳,115.6,20.4,114.8,20.3
7歳,122,24.2,119.6,22.3
8歳,127.8,26.6,125.7,26
9歳,131.8,29.1,134.4,29.7
10歳,138.4,33.8,140.6,33.7
11歳,145.7,38.8,146.6,37.1
12歳,153.1,43.4,150.1,41.9
13歳,160.3,50.4,154.6,47.2
14歳,165.2,51,154.9,48.7
15歳,168,57.9,158.2,49.5
16歳,173.9,62.6,156.6,49.9
17歳,169.2,57.3,154.8,47.2
18歳,170,61.1,157.4,50.1
19歳,174,64.3,156.6,51.2
20歳,169.1,61.4,157,50.7
21歳,172.5,65.1,157.1,52.2
22歳,172.6,64,158.8,52.3
23歳,169.4,62.8,159.3,54.6
24歳,171.5,63.9,157.5,50.9
25歳,173.5,70.3,160.1,53.3
26歳-29歳,171.7,66,159.4,54
30歳-39歳,172.1,71,158.3,53.4
40歳-49歳,171.3,71.1,158.7,55.8
50歳-59歳,170.8,70.4,157,55.2
60歳-69歳,167.2,67.1,153.9,54.2
70歳以上,162.7,62.7,149,51.3